system:index,UF,UF_codigo_gaul,def_anual_mm,excedente_anual_mm,indice_aridez_ia,indice_hidrico_ih,indice_umidade_im,latitude,longitude,municipio,municipio_codigo_gaul,pet_anual_mm,th_classe,th_classe_codigo,th_petr,th_pety,th_subtipo,thornthwaite_completo,.geo
000000000000000015e9_0,Alagoas,666,521.5466672182083,110.66666674613953,38.82876414602423,8.239051597878747,-15.058206889735787,-9.72426295059382,-36.449142653149586,Limoeiro De Anadia,6399,1343.1966705322266,C1,7,b2',A',d,C1dA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ea_0,Alagoas,666,267.986667573452,708.8666790723801,20.043280079690437,53.01761284043543,40.99164479262117,-9.49968412956394,-35.730490425853965,Maceio,6400,1337.0399780273438,B2,4,b2',A',s,B2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015eb_0,Alagoas,666,824.0333337783813,48.49999976158142,60.08672351059035,3.5365147943415582,-32.51551931201266,-9.544599893769915,-36.988131823621295,Major Isidoro,6401,1371.4066696166992,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ec_0,Alagoas,666,316.8799995109439,351.96666741371155,25.487967156655728,28.310132773048135,13.017352479054699,-9.454768365357964,-36.35931112473763,Mar Vermelho,6402,1243.2533264160156,C2,6,b2',A',s,C2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ed_0,Alagoas,666,272.1533297300339,463.36666762828827,21.15175842425285,36.01286019629769,23.321805141745976,-8.960694959092226,-35.281332783794205,Maragogi,6403,1286.6699981689453,B1,5,b2',A',s,B1sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ee_0,Alagoas,666,811.386661529541,29.866666436195374,59.80281509849837,2.20130649809467,-33.68038256100435,-9.230189544328082,-37.39237370147508,Maravilha,6404,1356.7700119018555,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ef_0,Alagoas,666,294.73333218693733,508.2999984025955,22.38435676154721,38.60428144218515,25.17366738525682,-9.72426295059382,-35.91015348267787,Marechal Deodoro,6405,1316.6933288574219,B1,5,b2',A',s,B1sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f0_0,Alagoas,666,377.5166643857956,260.93333649635315,28.80099079729803,19.906773215869997,2.6261787374911805,-9.544599893769915,-36.314395360531655,Maribondo,6406,1310.7766571044922,C2,6,b2',A',s,C2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f1_0,Alagoas,666,854.2666702270508,28.799999833106995,61.90637250089183,2.087057332132689,-35.056766168402405,-9.050526487504179,-37.75169981512289,Mata Grande,6407,1379.933334350586,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f2_0,Alagoas,666,322.84666481614113,471.9666676521301,24.04584042596485,35.15240023681393,20.724895981235022,-9.095442251710155,-35.55082736903006,Matriz De Camaragibe,6408,1342.6299896240234,B1,5,b2',A',s,B1sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f3_0,Alagoas,666,333.2266677878797,506.2666767835617,24.865991739248823,37.77855801976388,22.858962976214585,-9.320021072740035,-35.82032195426592,Messias,6409,1340.0899963378906,B1,5,b2',A',s,B1sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f4_0,Alagoas,666,776.5033254623413,39.933333933353424,56.8789127609717,2.92511898219825,-31.20222867438477,-9.320021072740035,-36.85338453100337,Minador Do Negrao,6410,1365.186653137207,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f5_0,Alagoas,666,851.579999923706,36.23333406448364,61.79795895971461,2.6294019254693595,-34.44937345035941,-9.589515657975891,-37.30254217306313,Monteiropolis,6411,1378.0066757202148,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f6_0,Alagoas,666,334.02666599303484,403.4333381652832,25.67355683488211,31.008209196952528,15.604075096023262,-9.275105308534059,-35.955069246883845,Murici,6412,1301.0533294677734,C2,6,b2',A',s,C2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f7_0,Alagoas,666,373.2933375239372,351.13333225250244,28.057745412316493,26.39213897431882,9.557491726928923,-8.960694959092226,-35.640658897442016,Novo Lino,6413,1330.446662902832,C2,6,b2',A',s,C2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
