code_muni,name_muni,abbrev_state,thornthwaite_completo,th_classe,th_classe_codigo,th_subtipo,th_pety,th_petr,def_anual_mm,excedente_anual_mm,pet_anual_mm,indice_umidade_im,indice_hidrico_ih,indice_aridez_ia,preenchido_por_vizinho
2210359.0,São Lourenço do Piauí,PI,DdA'b3',D,8.0,d,A',b3',1048.933330535889,42.10000019147992,1605.3499908447266,-36.58143093276751,2.622481105776014,65.33985339757254,False
2210375.0,São Luis do Piauí,PI,DdA'b3',D,8.0,d,A',b3',928.0066614151,86.76666609942913,1562.3000030517578,-30.08624014795313,5.553777503036631,59.40002941831627,False
2210383.0,São Miguel da Baixa Grande,PI,C1s2A'b4',C1,7.0,s2,A',b4',661.7399998903275,345.5333402231336,1564.7000045776367,-3.292047009673737,22.083040788154417,42.29181299638026,False
2210391.0,São Miguel do Fidalgo,PI,DdA'b4',D,8.0,d,A',b4',960.9666757583618,50.800000473856926,1565.9633407592771,-33.5754989466247,3.244009559586874,61.36584751035262,False
2210409.0,São Miguel do Tapuio,PI,DsA'b4',D,8.0,s,A',b4',873.9399971961975,159.06666635721922,1537.3433380126953,-23.76159722607668,10.34685371992718,56.84741824333977,False
2210508.0,São Pedro do Piauí,PI,C2w2A'b4',C2,6.0,w2,A',b4',606.613344013691,365.0999880284071,1526.650001525879,0.074148077100915,23.915107435462712,39.73493226393633,False
2210607.0,São Raimundo Nonato,PI,DdA'b3',D,8.0,d,A',b3',994.6733531951904,45.33333279564977,1585.7666702270508,-34.7762813707331,2.85876438487378,62.7250762593448,False
2210623.0,Sebastião Barros,PI,C1dA'b4',C1,7.0,d,A',b4',618.7733397483826,93.73333159089088,1496.956657409668,-18.539659841479807,6.261592887604837,41.33542121514108,False
2210631.0,Sebastião Leal,PI,DdA'b4',D,8.0,d,A',b4',603.2599945068359,63.23333389684558,1478.9100036621094,-20.198839825787395,4.275671524316274,40.79085225017278,False
2210656.0,Sigefredo Pacheco,PI,C1sA'b4',C1,7.0,s,A',b4',592.8499947190285,172.06666304916143,1558.9966583251953,-11.779584824738537,11.0370129487006,38.02766295573189,False
2210706.0,Simões,PI,DdA'b3',D,8.0,d,A',b3',1022.5733299255372,50.06666738912463,1557.9733352661133,-36.16732827265952,3.213576654736064,65.63484154565931,False
2210805.0,Simplício Mendes,PI,DdA'b3',D,8.0,d,A',b3',1005.7733345031738,54.033332914114,1582.2033462524414,-34.72566715834314,3.415068805289516,63.5678932727211,False
2210904.0,Socorro do Piauí,PI,DdA'b4',D,8.0,d,A',b4',968.43332862854,52.26666701957584,1570.6299896240234,-33.66759412789071,3.3277517534277696,61.65890980219747,False
2210938.0,Sussuapara,PI,DdA'b4',D,8.0,d,A',b4',977.6599912643431,62.599999502301216,1578.806655883789,-33.189370801263856,3.9650199895603295,61.92398465137365,False
2210953.0,Tamboril do Piauí,PI,DdA'b4',D,8.0,d,A',b4',854.7366800308228,77.79999997839332,1546.9633407592771,-28.122321749820777,5.029207734179899,55.25254914000113,False
2210979.0,Tanque do Piauí,PI,C1sA'b4',C1,7.0,s,A',b4',725.8666648864746,204.2666667662561,1540.839988708496,-15.008263924890798,13.256838364992635,47.10850381647239,False
2211001.0,Teresina,PI,C1s2A'b4',C1,7.0,s2,A',b4',610.3233413696289,334.5333273559809,1577.866668701172,-2.006549608647098,21.20162203764362,38.6802860771512,False
2211100.0,União,PI,C2wA'b4',C2,6.0,w,A',b4',452.89000248909,342.63333374261856,1548.3699951171875,4.578965781612073,22.128647211139384,29.249469049212184,False
2211209.0,Uruçuí,PI,C1dA'b4',C1,7.0,d,A',b4',526.3199955224991,82.53333220630884,1462.67333984375,-15.947420299060656,5.642635984267373,35.983427138880046,False
2211308.0,Valença do Piauí,PI,C1sA'b4',C1,7.0,s,A',b4',775.6066747903824,189.06666821613908,1550.4766693115234,-17.820154416175633,12.194099528120768,50.02375657382734,False
2211357.0,Várzea Branca,PI,DdA'b3',D,8.0,d,A',b3',986.3300037384032,47.80000082403421,1566.7200088500977,-34.72209446142696,3.050960002682118,62.95509077351513,False
2211407.0,Várzea Grande,PI,C1sA'b4',C1,7.0,s,A',b4',705.819993019104,241.13332883641124,1540.5433044433594,-11.837295741643716,15.652486245658595,45.81630331217052,False
2211506.0,Vera Mendes,PI,DdA'b3',D,8.0,d,A',b3',964.0233297348022,109.90000176802278,1590.5233459472656,-29.456593470737545,6.909675488137509,60.61044826479176,False
2211605.0,Vila Nova do Piauí,PI,DdA'b3',D,8.0,d,A',b3',1056.066665649414,45.60000003874302,1592.2066650390625,-36.9323915206999,2.863949827620166,66.32723558053345,False
2211704.0,Wall Ferraz,PI,DdA'b3',D,8.0,d,A',b3',932.3933124542236,60.36666654795408,1565.3533325195312,-31.88221537953337,3.856424316086533,59.56439949269984,False
2300101.0,Abaiara,CE,DdA'b3',D,8.0,d,A',b3',738.3933238983154,108.39999862387776,1529.076675415039,-21.884840773225505,7.089245449019398,48.29014370374151,False
2300150.0,Acarape,CE,C1dA'b3',C1,7.0,d,A',b3',678.6633386611938,140.6666663363576,1514.849967956543,-17.59456992430057,9.285848058346655,44.800696637745375,False
2300200.0,Acaraú,CE,C1s2A'b3',C1,7.0,s2,A',b3',842.9666603803635,336.13334149867296,1650.8633499145508,-10.276238474754802,20.361063895208005,51.06217061660468,False
2300309.0,Acopiara,CE,DdA'b3',D,8.0,d,A',b3',937.9633383750916,123.63333043456078,1594.9833297729492,-27.532869114877062,7.751386997390146,58.80709352044535,False
2300408.0,Aiuaba,CE,DdA'b3',D,8.0,d,A',b3',1042.3333358764648,45.63333381339908,1546.5366668701172,-37.48806479226983,2.95067907479697,67.39790644511135,False
2300507.0,Alcântaras,CE,C2w2A'b4',C2,6.0,w2,A',b4',686.1366671323776,600.9333337880671,1387.4666748046875,13.640063357578033,43.31155080698857,49.4524790823509,False
2300606.0,Altaneira,CE,DdA'b3',D,8.0,d,A',b3',857.0733313560486,150.06666464731097,1543.4733352661133,-23.594663143534625,9.72266000445273,55.52887191331225,False
