system:index,UF,UF_codigo_gaul,camargo_completo,cm_hidrico,cm_hidrico_codigo,cm_letra_seca,cm_termico,cm_termico_codigo,def_anual_mm,excedente_anual_mm,latitude,longitude,municipio,municipio_codigo_gaul,temp_anual_c,temp_mes_mais_frio_c,.geo
000000000000000015e1_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,893.7233324050903,33.966666519641876,-9.634431422181867,-37.212710644651175,Jacare Dos Homens,6391,24.979305,21.755,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e2_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,312.133339881897,488.19999837875366,-8.870863430680274,-35.46099584061811,Jacuipe,6392,23.703888,21.865,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e3_0,Alagoas,666,TR-MOp,MO,4,p,TR,7,346.7700017094612,377.8999924659729,-9.095442251710155,-35.281332783794205,Japaratinga,6393,24.569584,22.991667,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e4_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,846.8699927330017,43.466666877269745,-9.634431422181867,-36.988131823621295,Jaramataia,6394,24.753334,21.768333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e5_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,340.2366669476032,405.5000030994415,-9.095442251710155,-35.77540619005994,Joaquim Gomes,6395,23.544027,21.483334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e6_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,343.2533299922943,419.36667013168335,-8.960694959092226,-35.55082736903006,Jundia,6396,23.675417,21.773333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e7_0,Alagoas,666,TR-SEv,SE,3,v,TR,7,528.626663684845,108.86666774749756,-9.859010243211747,-36.449142653149586,Junqueiro,6397,23.93125,21.366667,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e8_0,Alagoas,666,TR-SEv,SE,3,v,TR,7,667.5166678726673,71.73333352804184,-9.814094479005773,-36.71863723838544,Lagoa Da Canoa,6398,23.623333,20.81,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e9_0,Alagoas,666,TR-SEv,SE,3,v,TR,7,521.5466672182083,110.66666674613953,-9.72426295059382,-36.449142653149586,Limoeiro De Anadia,6399,23.704306,21.123333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ea_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,267.986667573452,708.8666790723801,-9.49968412956394,-35.730490425853965,Maceio,6400,24.240139,22.24,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015eb_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,824.0333337783813,48.49999976158142,-9.544599893769915,-36.988131823621295,Major Isidoro,6401,24.558195,21.56,"{""type"":""MultiPoint"",""coordinates"":[]}"
