code_muni,name_muni,abbrev_state,camargo_completo,cm_termico,cm_termico_codigo,cm_hidrico,cm_hidrico_codigo,cm_letra_seca,def_anual_mm,excedente_anual_mm,temp_anual_c,temp_mes_mais_frio_c,preenchido_por_vizinho
2701209.0,Cacimbinhas,AL,TR-SEp,TR,7.0,SE,3.0,p,801.0300064086914,43.63333350419998,24.227917,21.244999,False
2701308.0,Cajueiro,AL,TR-MOv,TR,7.0,MO,4.0,v,353.6333354189992,382.9999977350235,23.811111,21.48,False
2701357.0,Campestre,AL,TR-MOv,TR,7.0,MO,4.0,v,327.8533270955086,415.5666682720184,23.639305,21.701668,False
2701407.0,Campo Alegre,AL,TR-SEv,TR,7.0,SE,3.0,v,458.4133330583573,170.0666651725769,23.973333,21.521667,False
2701506.0,Campo Grande,AL,TR-SEv,TR,7.0,SE,3.0,v,673.1666738986969,78.13333243131638,24.310972,21.425,False
2701605.0,Canapi,AL,TR-SEp,TR,7.0,SE,3.0,p,809.7733421325684,30.333333373069763,23.771667,20.266666,False
2701704.0,Capela,AL,TR-MOv,TR,7.0,MO,4.0,v,348.43000274151564,386.5999995470047,23.749166,21.44,False
2701803.0,Carneiros,AL,TR-SEp,TR,7.0,SE,3.0,p,789.4333457946777,40.66666689515114,23.801388,20.451666,False
2701902.0,Chã Preta,AL,TR-MOv,TR,7.0,MO,4.0,v,286.8366696834564,485.1333281993866,22.298195,19.991667,False
2702009.0,Coité do Nóia,AL,TR-SEv,TR,7.0,SE,3.0,v,699.1566649675369,43.333333015441895,24.069445,21.341667,False
2702108.0,Colônia Leopoldina,AL,TR-MOv,TR,7.0,MO,4.0,v,290.98333528637886,428.00000405311584,22.504583,20.423332,False
2702207.0,Coqueiro Seco,AL,TR-MOv,TR,7.0,MO,4.0,v,249.57666671276093,631.0666601657867,24.339584,22.325,False
2702306.0,Coruripe,AL,TR-MOv,TR,7.0,MO,4.0,v,390.960000038147,282.40000319480896,24.438194,22.115,False
2702355.0,Craíbas,AL,TR-SEv,TR,7.0,SE,3.0,v,887.9966645240784,26.0,24.349583,21.5,False
2702405.0,Delmiro Gouveia,AL,TR-SEp,TR,7.0,SE,3.0,p,1007.5566673278807,24.96666663885117,25.146805,21.928333,False
2702504.0,Dois Riachos,AL,TR-SEp,TR,7.0,SE,3.0,p,792.1399965286255,45.999999701976776,24.265278,21.131666,False
2702553.0,Estrela de Alagoas,AL,TR-SEp,TR,7.0,SE,3.0,p,698.6933346986771,58.19999933242798,23.677917,20.891666,False
2702603.0,Feira Grande,AL,TR-SEv,TR,7.0,SE,3.0,v,636.8666767477989,80.76666706800461,24.095833,21.285,False
2702702.0,Feliz Deserto,AL,TR-MOv,TR,7.0,MO,4.0,v,456.9133347272873,210.93333315849304,25.070694,22.806667,False
2702801.0,Flexeiras,AL,TR-MOv,TR,7.0,MO,4.0,v,301.6199933886528,515.733323931694,23.26111,21.238333,False
2702900.0,Girau do Ponciano,AL,TR-SEv,TR,7.0,SE,3.0,v,759.8866672515869,46.6666664481163,23.954166,21.053333,False
