code_muni,name_muni,abbrev_state,classe_koppen,classe_koppen_codigo,precip_anual_mm,precip_mes_mais_seco_mm,temp_anual_c,temp_mes_mais_frio_c,temp_mes_mais_quente_c,preenchido_por_vizinho
2708600.0,São Miguel dos Campos,AL,As,3.0,1227.4333333333334,23.53333333333333,24.05,21.69833333333333,25.754999999999995,False
2708709.0,São Miguel dos Milagres,AL,As,3.0,1543.5333333333335,32.1,24.50361111111111,22.866666666666667,25.665000000000003,False
2708808.0,São Sebastião,AL,As,3.0,934.7,21.03333333333333,23.97611111111111,21.346666666666668,25.95,False
2708907.0,Satuba,AL,As,3.0,1646.2333333333336,33.5,24.204583333333336,22.094999999999995,25.731666666666676,False
2708956.0,Senador Rui Palmeira,AL,BSh,5.0,549.9666666666667,9.433333333333334,24.09472222222222,20.66333333333333,26.321666666666665,False
2709004.0,Tanque d'Arca,AL,As,3.0,1067.3666666666666,18.23333333333333,23.826111111111107,21.293333333333337,25.67,False
2709103.0,Taquarana,AL,As,3.0,925.3,17.266666666666666,23.566944444444445,20.971666666666668,25.481666666666666,False
2709152.0,Teotônio Vilela,AL,As,3.0,1009.1,21.266666666666666,24.11319444444445,21.63833333333333,25.96166666666667,False
2709202.0,Traipu,AL,As,3.0,640.3000000000001,15.366666666666667,24.82819444444445,21.85333333333333,27.016666666666666,False
2709301.0,União dos Palmares,AL,As,3.0,1419.3,29.33333333333333,22.75625,20.555,24.38333333333332,False
2709400.0,Viçosa,AL,As,3.0,1418.6666666666667,27.33333333333333,23.085,20.71,24.85666666666667,False
2800100.0,Amparo do São Francisco,SE,As,3.0,740.3666666666666,17.533333333333335,25.479583333333338,22.555,27.73333333333333,True
2800209.0,Aquidabã,SE,As,3.0,786.8666666666668,21.2,24.457083333333333,21.57833333333333,26.67,False
2800308.0,Aracaju,SE,As,3.0,1306.7666666666669,32.1,25.99486111111112,24.17333333333334,27.53333333333334,False
2800407.0,Arauá,SE,As,3.0,1194.1333333333332,39.56666666666667,24.83875,22.523333333333333,26.68166666666667,False
2800506.0,Areia Branca,SE,As,3.0,1223.0333333333333,36.73333333333333,23.74875,21.411666666666665,25.64,False
2800605.0,Barra dos Coqueiros,SE,As,3.0,1239.7999999999995,28.366666666666667,25.8725,23.945000000000004,27.440000000000005,False
2800670.0,Boquim,SE,As,3.0,1114.1333333333334,41.23333333333333,24.845,22.44833333333333,26.743333333333336,False
2800704.0,Brejo Grande,SE,As,3.0,1151.4,28.366666666666667,25.30861111111111,23.085,27.053333333333327,False
2801009.0,Campo do Brito,SE,As,3.0,1091.2999999999995,35.86666666666667,24.074861111111115,21.595,26.055,False
2801108.0,Canhoba,SE,As,3.0,710.6333333333332,17.866666666666667,25.446388888888887,22.454999999999995,27.71,False
2801207.0,Canindé de São Francisco,SE,BSh,5.0,496.6,7.633333333333334,24.76388888888889,21.465,26.925,False
2801306.0,Capela,SE,As,3.0,985.1,24.266666666666666,24.959444444444447,22.40833333333334,26.98,False
2801405.0,Carira,SE,BSh,5.0,598.3333333333334,19.966666666666665,23.20236111111112,20.205,25.4,False
2801504.0,Carmópolis,SE,As,3.0,1308.8000000000002,29.966666666666665,25.418611111111115,23.235,27.20166666666666,False
2801603.0,Cedro de São João,SE,As,3.0,801.9333333333334,19.0,25.45513888888889,22.615,27.610000000000003,False
2801702.0,Cristinápolis,SE,As,3.0,1063.8,39.7,24.32569444444445,21.90333333333333,26.238333333333333,False
2801900.0,Cumbe,SE,As,3.0,757.3000000000001,20.5,24.045,21.236666666666665,26.243333333333336,False
2802007.0,Divina Pastora,SE,As,3.0,1227.7333333333336,34.3,25.30819444444444,23.05500000000001,27.171666666666667,False
2802106.0,Estância,SE,Am,2.0,1495.9999999999998,43.03333333333333,25.36666666666667,23.215,27.110000000000003,False
2802205.0,Feira Nova,SE,As,3.0,668.0,18.933333333333334,24.31555555555555,21.336666666666662,26.57,False
