system:index,UF,UF_codigo_gaul,classe_koppen,classe_koppen_codigo,latitude,longitude,municipio,municipio_codigo_gaul,precip_anual_mm,precip_mes_mais_seco_mm,temp_anual_c,temp_mes_mais_frio_c,temp_mes_mais_quente_c,.geo
00060000000000000355_0,Minas Gerais,677,Aw,4,-19.695562604320507,-50.32811379279619,Iturama,8259,1248.1999999999998,11.133333333333333,23.385833333333334,20.19333333333333,25.061666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000356_0,Minas Gerais,677,Cwb,16,-21.04303553049979,-46.734852656318104,Jacui,8263,1611.2333333333336,13.8,19.373055555555556,15.780000000000001,21.483333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000357_0,Minas Gerais,677,Cwb,16,-22.30067692826712,-46.60010536370017,Jacutinga,8264,1611.4,21.466666666666665,19.599583333333335,16.02166666666667,21.893333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000358_0,Minas Gerais,677,Cwa,15,-20.14472024638027,-45.52212702275675,Japaraiba,8270,1428.8666666666666,8.933333333333334,21.167083333333334,17.318333333333335,23.586666666666662,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000359_0,Minas Gerais,677,Cwa,15,-22.031182343031265,-45.29754820172687,Jesuania,8278,1585.1000000000001,17.7,19.68763888888889,15.374999999999995,22.52666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0006000000000000035a_0,Minas Gerais,677,Aw,4,-17.584521686639633,-45.926368900610534,Joao Pinheiro,8282,1208.1666666666667,2.566666666666667,23.504722222222224,20.72666666666667,25.73333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0006000000000000035b_0,Minas Gerais,677,Cwa,15,-21.222698587323695,-46.510273835288224,Juruaia,8291,1583.6,14.066666666666666,19.93222222222222,16.14,22.22166666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0006000000000000035c_0,Minas Gerais,677,Aw,4,-18.123510857111345,-46.734852656318104,Lagamar,8294,1481.5666666666668,2.8666666666666667,22.969305555555554,20.065,24.990000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
0006000000000000035d_0,Minas Gerais,677,Cwa,15,-20.00997295376234,-45.477211258550774,Lagoa Da Prata,8295,1438.0,8.766666666666667,21.30097222222222,17.513333333333332,23.695000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
0006000000000000035e_0,Minas Gerais,677,Aw,4,-18.75233155599501,-46.33061077846432,Lagoa Formosa,8298,1466.3666666666668,5.566666666666666,20.98291666666667,18.173333333333336,22.84333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
